feeder,start_time,end_time,outage_duration_minutes
8 MILES,2023-04-23 11:00:00.0000000,2023-04-23 13:30:00.0000000,150
8 MILES,2023-04-24 12:30:00.0000000,2023-04-24 12:30:00.0000000,0
8 MILES,2023-04-24 14:00:00.0000000,2023-04-24 16:30:00.0000000,150
8 MILES,2023-04-24 20:30:00.0000000,2023-04-24 23:30:00.0000000,180
8 MILES,2023-04-25 15:00:00.0000000,2023-04-25 15:00:00.0000000,0
8 MILES,2023-04-25 18:00:00.0000000,2023-04-25 18:00:00.0000000,0
8 MILES,2023-04-26 12:00:00.0000000,2023-04-26 12:00:00.0000000,0
8 MILES,2023-04-26 20:30:00.0000000,2023-04-26 20:30:00.0000000,0
8 MILES,2023-04-27 05:30:00.0000000,2023-04-27 09:30:00.0000000,240
8 MILES,2023-04-28 09:30:00.0000000,2023-04-28 09:30:00.0000000,0
8 MILES,2023-04-29 05:30:00.0000000,2023-04-29 06:00:00.0000000,30
8 MILES,2023-04-29 14:00:00.0000000,2023-04-29 16:30:00.0000000,150
8 MILES,2023-05-02 16:00:00.0000000,2023-05-02 16:00:00.0000000,0
8 MILES,2023-05-04 12:00:00.0000000,2023-05-04 12:00:00.0000000,0
8 MILES,2023-05-05 18:00:00.0000000,2023-05-05 21:30:00.0000000,210
8 MILES,2023-05-06 07:30:00.0000000,2023-05-06 12:00:00.0000000,270
8 MILES,2023-05-06 20:00:00.0000000,2023-05-06 20:00:00.0000000,0
8 MILES,2023-05-07 16:30:00.0000000,2023-05-07 16:30:00.0000000,0
8 MILES,2023-05-07 18:30:00.0000000,2023-05-07 19:00:00.0000000,30
8 MILES,2023-05-09 14:00:00.0000000,2023-05-09 14:00:00.0000000,0
8 MILES,2023-05-09 18:30:00.0000000,2023-05-09 20:30:00.0000000,120
8 MILES,2023-05-09 22:00:00.0000000,2023-05-09 22:00:00.0000000,0
8 MILES,2023-05-10 07:30:00.0000000,2023-05-10 09:00:00.0000000,90
8 MILES,2023-05-10 15:30:00.0000000,2023-05-10 18:30:00.0000000,180
8 MILES,2023-05-13 22:00:00.0000000,2023-05-13 22:30:00.0000000,30
8 MILES,2023-05-14 12:30:00.0000000,2023-05-14 12:30:00.0000000,0
8 MILES,2023-05-14 17:00:00.0000000,2023-05-14 17:00:00.0000000,0
8 MILES,2023-05-14 21:00:00.0000000,2023-05-14 21:00:00.0000000,0
8 MILES,2023-05-15 15:00:00.0000000,2023-05-15 16:00:00.0000000,60
8 MILES,2023-05-17 05:30:00.0000000,2023-05-17 08:30:00.0000000,180
8 MILES,2023-05-18 08:30:00.0000000,2023-05-18 08:30:00.0000000,0
8 MILES,2023-05-18 16:00:00.0000000,2023-05-18 19:30:00.0000000,210
8 MILES,2023-05-20 03:00:00.0000000,2023-05-20 03:00:00.0000000,0
8 MILES,2023-05-20 06:00:00.0000000,2023-05-20 10:30:00.0000000,270
8 MILES,2023-05-21 10:30:00.0000000,2023-05-21 10:30:00.0000000,0
8 MILES,2023-05-22 05:00:00.0000000,2023-05-22 06:30:00.0000000,90
8 MILES,2023-05-22 14:00:00.0000000,2023-05-22 14:30:00.0000000,30
8 MILES,2023-05-24 16:00:00.0000000,2023-05-24 18:00:00.0000000,120
8 MILES,2023-05-26 08:00:00.0000000,2023-05-26 10:00:00.0000000,120
8 MILES,2023-05-26 11:00:00.0000000,2023-05-26 13:00:00.0000000,120
8 MILES,2023-05-26 14:00:00.0000000,2023-05-26 14:00:00.0000000,0
8 MILES,2023-05-26 17:00:00.0000000,2023-05-26 18:00:00.0000000,60
8 MILES,2023-05-27 04:30:00.0000000,2023-05-27 06:30:00.0000000,120
8 MILES,2023-05-27 08:00:00.0000000,2023-05-27 09:30:00.0000000,90
8 MILES,2023-05-27 12:30:00.0000000,2023-05-27 12:30:00.0000000,0
8 MILES,2023-05-27 17:30:00.0000000,2023-05-27 17:30:00.0000000,0
8 MILES,2023-05-27 19:00:00.0000000,2023-05-27 19:00:00.0000000,0
8 MILES,2023-05-28 10:30:00.0000000,2023-05-28 10:30:00.0000000,0
8 MILES,2023-05-28 17:00:00.0000000,2023-05-28 17:00:00.0000000,0
8 MILES,2023-05-29 08:30:00.0000000,2023-05-29 11:00:00.0000000,150
8 MILES,2023-05-30 12:30:00.0000000,2023-05-30 13:00:00.0000000,30
8 MILES,2023-05-31 14:00:00.0000000,2023-05-31 14:30:00.0000000,30
8 MILES,2023-06-01 12:30:00.0000000,2023-06-01 14:30:00.0000000,120
8 MILES,2023-06-02 13:00:00.0000000,2023-06-02 18:30:00.0000000,330
8 MILES,2023-06-02 19:30:00.0000000,2023-06-02 21:00:00.0000000,90
8 MILES,2023-06-03 06:30:00.0000000,2023-06-03 11:00:00.0000000,270
8 MILES,2023-06-03 22:00:00.0000000,2023-06-03 22:30:00.0000000,30
8 MILES,2023-06-05 20:30:00.0000000,2023-06-05 20:30:00.0000000,0
8 MILES,2023-06-05 23:00:00.0000000,2023-06-05 23:00:00.0000000,0
8 MILES,2023-06-06 07:30:00.0000000,2023-06-06 12:30:00.0000000,300
8 MILES,2023-06-06 21:00:00.0000000,2023-06-06 21:00:00.0000000,0
8 MILES,2023-06-07 05:00:00.0000000,2023-06-07 06:30:00.0000000,90
8 MILES,2023-06-07 10:30:00.0000000,2023-06-07 11:00:00.0000000,30
8 MILES,2023-06-07 15:00:00.0000000,2023-06-07 15:00:00.0000000,0
8 MILES,2023-06-07 21:30:00.0000000,2023-06-07 23:00:00.0000000,90
8 MILES,2023-06-08 12:00:00.0000000,2023-06-08 14:00:00.0000000,120
8 MILES,2023-06-09 07:00:00.0000000,2023-06-09 08:30:00.0000000,90
8 MILES,2023-06-09 11:00:00.0000000,2023-06-09 11:30:00.0000000,30
8 MILES,2023-06-11 10:30:00.0000000,2023-06-11 10:30:00.0000000,0
8 MILES,2023-06-12 18:00:00.0000000,2023-06-12 18:00:00.0000000,0
8 MILES,2023-06-13 03:00:00.0000000,2023-06-13 06:00:00.0000000,180
8 MILES,2023-06-13 08:00:00.0000000,2023-06-13 08:00:00.0000000,0
8 MILES,2023-06-13 16:00:00.0000000,2023-06-13 17:00:00.0000000,60
8 MILES,2023-06-13 18:30:00.0000000,2023-06-13 18:30:00.0000000,0
8 MILES,2023-06-14 14:00:00.0000000,2023-06-14 14:00:00.0000000,0
8 MILES,2023-06-14 21:30:00.0000000,2023-06-14 21:30:00.0000000,0
8 MILES,2023-06-14 23:30:00.0000000,2023-06-15 00:00:00.0000000,30
8 MILES,2023-06-15 10:00:00.0000000,2023-06-15 10:30:00.0000000,30
8 MILES,2023-06-18 10:30:00.0000000,2023-06-18 10:30:00.0000000,0
8 MILES,2023-06-18 12:00:00.0000000,2023-06-18 12:30:00.0000000,30
8 MILES,2023-06-18 15:00:00.0000000,2023-06-18 17:00:00.0000000,120
8 MILES,2023-06-18 20:30:00.0000000,2023-06-18 21:00:00.0000000,30
8 MILES,2023-06-19 01:30:00.0000000,2023-06-19 14:00:00.0000000,750
8 MILES,2023-06-20 08:30:00.0000000,2023-06-20 10:00:00.0000000,90
8 MILES,2023-06-20 12:00:00.0000000,2023-06-20 12:30:00.0000000,30
8 MILES,2023-06-21 05:00:00.0000000,2023-06-21 05:30:00.0000000,30
8 MILES,2023-06-21 11:30:00.0000000,2023-06-21 11:30:00.0000000,0
8 MILES,2023-06-21 14:00:00.0000000,2023-06-21 14:00:00.0000000,0
8 MILES,2023-06-22 12:00:00.0000000,2023-06-22 13:00:00.0000000,60
8 MILES,2023-06-23 13:00:00.0000000,2023-06-23 15:30:00.0000000,150
8 MILES,2023-06-23 18:30:00.0000000,2023-06-23 18:30:00.0000000,0
